epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.8157,1.42193,0.74586,1,0.67,0.000236081,0.000236081,0.000236081
2,36.5662,0.87767,0.77348,0.99448,0.5944,0.000469387,0.000469387,0.000469387
3,51.2813,1.02383,0.69061,0.99448,0.9445,0.000697981,0.000697981,0.000697981
4,63.7216,1.03735,0.74586,0.99448,0.64071,0.000692794,0.000692794,0.000692794
5,76.2167,1.01894,0.64641,0.98343,0.93921,0.000685726,0.000685726,0.000685726
6,88.9013,0.99594,0.76796,0.98895,0.69613,0.000678657,0.000678657,0.000678657
7,102.156,0.93631,0.77901,1,0.6709,0.000671588,0.000671588,0.000671588
8,116.85,0.86161,0.8232,1,0.42837,0.00066452,0.00066452,0.00066452
9,131.071,0.83286,0.78453,1,0.55416,0.000657451,0.000657451,0.000657451
10,143.924,0.78864,0.79558,1,0.48584,0.000650383,0.000650383,0.000650383
11,156.734,0.76859,0.76243,0.99448,0.58203,0.000643314,0.000643314,0.000643314
12,168.953,0.77714,0.79006,0.98895,0.57361,0.000636245,0.000636245,0.000636245
13,181.289,0.7345,0.85635,1,0.36784,0.000629177,0.000629177,0.000629177
14,195.667,0.71757,0.87293,1,0.30876,0.000622108,0.000622108,0.000622108
15,210.152,0.69948,0.88398,1,0.35307,0.00061504,0.00061504,0.00061504
16,224.292,0.66798,0.87293,1,0.2911,0.000607971,0.000607971,0.000607971
17,236.596,0.66991,0.8674,1,0.49597,0.000600902,0.000600902,0.000600902
18,249.509,0.61848,0.8453,1,0.3359,0.000593834,0.000593834,0.000593834
19,262.25,0.62595,0.88398,1,0.29313,0.000586765,0.000586765,0.000586765
20,277.068,0.59981,0.87845,1,0.2773,0.000579697,0.000579697,0.000579697
21,290.145,0.57273,0.9116,1,0.22929,0.000572628,0.000572628,0.000572628
22,305.961,0.50147,0.93923,1,0.19139,0.000565559,0.000565559,0.000565559
23,320.744,0.52803,0.90608,1,0.22976,0.000558491,0.000558491,0.000558491
24,333.643,0.51796,0.92818,1,0.2172,0.000551422,0.000551422,0.000551422
25,346.342,0.46101,0.92265,1,0.17016,0.000544354,0.000544354,0.000544354
26,358.902,0.49308,0.93923,1,0.17706,0.000537285,0.000537285,0.000537285
27,373.527,0.48652,0.9558,1,0.14336,0.000530216,0.000530216,0.000530216
28,388.422,0.47293,0.94475,1,0.13555,0.000523148,0.000523148,0.000523148
29,401.428,0.47085,0.95028,1,0.16399,0.000516079,0.000516079,0.000516079
30,413.863,0.43911,0.8895,0.99448,0.29006,0.000509011,0.000509011,0.000509011
31,426.334,0.44523,0.96133,1,0.11066,0.000501942,0.000501942,0.000501942
32,440.92,0.37916,0.95028,1,0.14098,0.000494873,0.000494873,0.000494873
33,453.545,0.42255,0.9558,1,0.12211,0.000487805,0.000487805,0.000487805
34,466.047,0.41911,0.93923,1,0.14859,0.000480736,0.000480736,0.000480736
35,478.462,0.40247,0.95028,1,0.13035,0.000473668,0.000473668,0.000473668
36,490.973,0.37332,0.9558,1,0.13466,0.000466599,0.000466599,0.000466599
37,503.501,0.38943,0.93923,1,0.12962,0.00045953,0.00045953,0.00045953
38,516.425,0.35009,0.95028,1,0.14234,0.000452462,0.000452462,0.000452462
39,528.999,0.32283,0.93923,1,0.12785,0.000445393,0.000445393,0.000445393
40,541.815,0.33811,0.9337,1,0.16115,0.000438325,0.000438325,0.000438325
41,554.936,0.35811,0.96133,1,0.08817,0.000431256,0.000431256,0.000431256
42,570.736,0.31296,0.9779,1,0.07584,0.000424187,0.000424187,0.000424187
43,585.95,0.30264,0.9558,1,0.12977,0.000417119,0.000417119,0.000417119
44,598.909,0.34461,0.95028,1,0.12666,0.00041005,0.00041005,0.00041005
45,612.004,0.32858,0.98895,1,0.06716,0.000402982,0.000402982,0.000402982
46,627.132,0.30218,0.97238,1,0.07977,0.000395913,0.000395913,0.000395913
47,640.024,0.31095,0.9779,1,0.07938,0.000388844,0.000388844,0.000388844
48,652.758,0.29013,0.98343,1,0.05742,0.000381776,0.000381776,0.000381776
49,665.751,0.30257,0.9558,1,0.1125,0.000374707,0.000374707,0.000374707
50,681.253,0.25429,0.96685,1,0.07669,0.000367639,0.000367639,0.000367639
51,694.957,0.28009,0.98343,1,0.05266,0.00036057,0.00036057,0.00036057
52,709.777,0.26624,0.96133,1,0.10664,0.000353501,0.000353501,0.000353501
53,723.799,0.25952,0.98343,1,0.04724,0.000346433,0.000346433,0.000346433
54,738.441,0.23644,0.9779,1,0.05243,0.000339364,0.000339364,0.000339364
55,752.245,0.20844,0.99448,1,0.03989,0.000332296,0.000332296,0.000332296
56,767.861,0.21909,0.98343,1,0.05231,0.000325227,0.000325227,0.000325227
57,781.734,0.20981,0.98895,1,0.05341,0.000318158,0.000318158,0.000318158
58,795.11,0.18029,0.99448,1,0.0425,0.00031109,0.00031109,0.00031109
59,812.802,0.19217,0.99448,1,0.03664,0.000304021,0.000304021,0.000304021
60,827.947,0.20137,0.98895,1,0.03986,0.000296953,0.000296953,0.000296953
61,841.144,0.17713,0.98895,1,0.02692,0.000289884,0.000289884,0.000289884
62,854.462,0.17619,0.98343,1,0.03005,0.000282815,0.000282815,0.000282815
63,867.492,0.16309,0.98343,1,0.03262,0.000275747,0.000275747,0.000275747
64,882.658,0.18502,1,1,0.01563,0.000268678,0.000268678,0.000268678
65,897.748,0.17193,0.99448,1,0.0287,0.00026161,0.00026161,0.00026161
66,911.007,0.15057,1,1,0.01793,0.000254541,0.000254541,0.000254541
67,926.567,0.18157,1,1,0.01584,0.000247472,0.000247472,0.000247472
68,946.278,0.17875,1,1,0.01389,0.000240404,0.000240404,0.000240404
69,962.199,0.14755,0.98895,1,0.02244,0.000233335,0.000233335,0.000233335
70,977.508,0.15208,0.99448,1,0.02011,0.000226267,0.000226267,0.000226267
71,991.541,0.15171,0.98895,1,0.01989,0.000219198,0.000219198,0.000219198
72,1004.9,0.13577,0.98895,1,0.01553,0.000212129,0.000212129,0.000212129
73,1018.01,0.14371,1,1,0.01159,0.000205061,0.000205061,0.000205061
74,1032.53,0.15443,1,1,0.00767,0.000197992,0.000197992,0.000197992
75,1047.94,0.13063,1,1,0.01501,0.000190924,0.000190924,0.000190924
76,1062.49,0.13054,1,1,0.00753,0.000183855,0.000183855,0.000183855
77,1077.07,0.12905,0.99448,1,0.01104,0.000176786,0.000176786,0.000176786
78,1093.93,0.12057,0.98343,1,0.02298,0.000169718,0.000169718,0.000169718
79,1106.9,0.13076,1,1,0.00841,0.000162649,0.000162649,0.000162649
80,1121.78,0.11099,1,1,0.0042,0.000155581,0.000155581,0.000155581
81,1136.43,0.11642,1,1,0.00227,0.000148512,0.000148512,0.000148512
82,1151.3,0.11092,1,1,0.00166,0.000141443,0.000141443,0.000141443
83,1165.93,0.1019,1,1,0.00261,0.000134375,0.000134375,0.000134375
84,1180.54,0.12143,1,1,0.00227,0.000127306,0.000127306,0.000127306
85,1194.89,0.10149,1,1,0.00447,0.000120238,0.000120238,0.000120238
86,1209.23,0.09086,1,1,0.00186,0.000113169,0.000113169,0.000113169
87,1223.81,0.09307,1,1,0.00696,0.0001061,0.0001061,0.0001061
88,1238.2,0.08491,1,1,0.00195,9.90318e-05,9.90318e-05,9.90318e-05
89,1252.5,0.08183,1,1,0.00179,9.19632e-05,9.19632e-05,9.19632e-05
90,1266.88,0.08636,1,1,0.00168,8.48946e-05,8.48946e-05,8.48946e-05
91,1328.3,0.08948,1,1,0.0022,7.7826e-05,7.7826e-05,7.7826e-05
92,1343.07,0.08817,1,1,0.00291,7.07574e-05,7.07574e-05,7.07574e-05
93,1357.91,0.07007,1,1,0.00156,6.36888e-05,6.36888e-05,6.36888e-05
94,1374.14,0.06639,1,1,0.00108,5.66202e-05,5.66202e-05,5.66202e-05
95,1389.09,0.07133,1,1,0.00166,4.95516e-05,4.95516e-05,4.95516e-05
96,1405.35,0.07193,1,1,0.00112,4.2483e-05,4.2483e-05,4.2483e-05
97,1419.87,0.06709,1,1,0.00106,3.54144e-05,3.54144e-05,3.54144e-05
98,1436.96,0.05873,1,1,0.001,2.83458e-05,2.83458e-05,2.83458e-05
99,1452.54,0.0748,1,1,0.00102,2.12772e-05,2.12772e-05,2.12772e-05
100,1467.52,0.05785,1,1,0.00086,1.42086e-05,1.42086e-05,1.42086e-05
